mol_id,smiles,A,B,C,mu,alpha,homo,lumo,gap,r2,zpve,u0,u298,h298,g298,cv
gdb_89835,OC1CC2(CC2)CC1=O,3.19334,1.2263,0.9888,2.7195,75.4,-0.2512,-0.0284,0.2229,1213.9157,0.159062,-423.044181,-423.035882,-423.034937,-423.077133,32.436
gdb_36873,C1CC1NC2=NCCO2,4.92517,0.92431,0.81835,1.3423,77.99,-0.2144,0.0643,0.2788,1427.5837,0.161118,-419.210684,-419.202112,-419.201168,-419.245125,31.158
gdb_19320,C#CC12CC1C1OC21,4.9959,1.69319,1.50919,1.4352,68.32,-0.2249,0.025,0.2499,832.7606,0.105719,-345.287896,-345.281298,-345.280354,-345.318327,26.347
gdb_96404,CC1OCOCC1C#C,2.07981,1.71184,1.20167,1.8563,76.89,-0.2512,0.0501,0.3013,1106.5849,0.158966,-422.996522,-422.987899,-422.986955,-423.029492,33.086
gdb_44243,N=C1OC2C1CCC2=O,3.22781,1.45953,1.19584,1.8143,69.64,-0.2506,-0.0448,0.2058,1026.5452,0.12568,-437.911449,-437.90417,-437.903226,-437.943551,27.818
gdb_18051,C1CC2OCCCC12,3.3827,2.10583,1.56304,1.2694,74.38,-0.2375,0.0847,0.3222,884.5409,0.180265,-349.005318,-348.998483,-348.997539,-349.036025,27.823
gdb_62158,CC(CCC=O)OC=O,2.56517,0.74204,0.60253,3.5213,75.01,-0.2573,-0.0274,0.2299,1785.7616,0.155459,-460.200916,-460.190483,-460.189539,-460.238313,35.212
gdb_130470,O1C=C2C=NC=C2N=N1,2.42971,1.80552,1.03581,1.2399,78.1,-0.2517,-0.0962,0.1556,1029.4336,0.07805,-431.677395,-431.670169,-431.669225,-431.709526,25.662
gdb_45824,O=C1NC=CC2OCC12,2.54373,1.8803,1.20526,2.353,70.44,-0.229,-0.0239,0.2052,991.6256,0.126982,-437.909131,-437.901881,-437.900937,-437.941843,27.367
gdb_15871,CN1CC(O)C1C#N,2.55918,2.07977,1.27485,4.4873,66.18,-0.2469,0.0093,0.2562,950.6158,0.129961,-379.901045,-379.892904,-379.89196,-379.93369,29.333
gdb_120256,CC1C2NC2C1CCO,3.00801,0.97313,0.85249,2.3098,82.16,-0.2246,0.0788,0.3034,1436.4599,0.19391,-404.295932,-404.286309,-404.285365,-404.330742,35.915
gdb_89256,CC1CC2(O)C3CN3C12,2.41467,1.76672,1.29306,2.4858,77.78,-0.2202,0.0613,0.2816,1050.3405,0.170582,-403.069457,-403.061146,-403.060202,-403.101686,33.239
gdb_120041,COCC1C(O)CC1O,2.88344,1.09216,0.98575,2.306,75.53,-0.2506,0.0632,0.3138,1314.5265,0.182305,-461.332706,-461.323314,-461.32237,-461.366978,35.296
gdb_6833,CC1(C)COC1CO,3.30813,1.45711,1.28999,2.7007,70.56,-0.2459,0.0628,0.3086,1050.5709,0.175795,-386.123187,-386.114201,-386.113257,-386.156619,33.266
gdb_16696,CC1C2CC(C)C1O2,2.63913,2.27798,1.72025,1.7381,73.52,-0.2396,0.0813,0.3209,880.9393,0.178435,-348.98832,-348.980799,-348.979855,-349.019594,29.873
gdb_79820,CC1C2C3OCC1(C)C23,2.10632,1.92662,1.65266,1.6134,80.57,-0.2232,0.0863,0.3095,994.1468,0.183425,-387.06867,-387.060693,-387.059749,-387.100437,32.514
